,Multiple,Revenue,Daily Rate,Occupancy,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE
0,27.434005974516857,49209.0,211.0,0.64,Single Family Residential,1877 Vintage Ln,FAIRFIELD,CA,94534,1350000,4,5.0,GREEN VALLEY 2,7480,107158.0,1979.0,180,0.0,38.240736,-122.15299499999999
0,36.53166406666535,50641.0,225.0,0.62,Single Family Residential,710 Bridle Ridge Dr,FAIRFIELD,CA,94534,1850000,4,5.0,GREEN VALLEY 1,4403,32404.0,2015.0,420,186.0,38.236506,-122.13868000000001
0,13.437594898269056,46102.0,166.0,0.76,Single Family Residential,3040 Muse Way,FAIRFIELD,CA,94533,619500,4,3.0,FAIRFIELD 1,2105,11494.0,2019.0,294,0.0,38.286053,-122.003215
0,9.924390127918588,42058.0,147.0,0.78,Single Family Residential,2471 Heather Dr,FAIRFIELD,CA,94533,417400,3,2.0,FAIRFIELD 2,1391,5663.0,1966.0,300,0.0,38.2739505,-122.04092759999999
0,14.217423555592186,48532.0,220.0,0.6,Single Family Residential,1980 Gentle Creek Dr,FAIRFIELD,CA,94534,690000,5,3.0,CORDELIA,4085,7993.0,2002.0,169,0.0,38.1669208,-122.12976110000001
0,7.227318851084098,48289.0,170.0,0.78,Single Family Residential,1201 Broadway St,FAIRFIELD,CA,94533,349000,2,1.0,FAIRFIELD,1180,3920.0,1902.0,296,0.0,38.2456718,-122.04883079999999
0,10.55644177535892,42628.0,141.0,0.83,Single Family Residential,713 Dogwood Cir,FAIRFIELD,CA,94533,450000,3,2.0,FAIRFIELD 1,1661,5663.0,1978.0,271,0.0,38.2852338,-122.02083400000001
0,32.63691121248015,39679.0,213.0,0.51,Single Family Residential,2658 Seminole Cir,FAIRFIELD,CA,94534,1295000,6,5.5,FAIRFIELD 3,5073,15895.0,2004.0,255,61.0,38.281291499999995,-122.0693097
0,9.68598652940779,44393.0,153.0,0.79,Single Family Residential,2280 Santa Clara Dr,FAIRFIELD,CA,94533,429990,4,2.0,FAIRFIELD 6,1563,6098.0,1968.0,275,0.0,38.2712729,-122.02560790000001
0,11.560287156214546,51122.0,228.0,0.61,Single Family Residential,4569 Alba Pl,FAIRFIELD,CA,94534,590985,3,2.5,GREEN VALLEY 1,2101,2962.0,2018.0,281,109.0,38.231642,-122.129672
0,27.061983882200774,40204.0,188.0,0.59,Single Family Residential,2969 Waterman Blvd,FAIRFIELD,CA,94534,1088000,4,4.0,FAIRFIELD,4299,24158.0,2008.0,253,0.0,38.2692526,-122.0702287
0,4.599392880139821,43484.0,199.0,0.6,Single Family Residential,1049 2nd St,FAIRFIELD,CA,94533,200000,3,2.0,FAIRFIELD 8,1749,5227.0,1952.0,114,0.0,38.254098600000006,-122.05549029999999
0,26.57323386414188,50803.0,226.0,0.62,Single Family Residential,5333 Bayridge Ct,FAIRFIELD,CA,94534,1350000,4,4.0,FAIRFIELD,3913,41163.0,2006.0,345,187.0,38.2363248,-122.13632690000001
0,11.354639776657361,47998.0,169.0,0.78,Single Family Residential,1958 Elijah St,FAIRFIELD,CA,94533,545000,4,3.5,FAIRFIELD 10,2528,2836.0,2020.0,216,190.0,38.26429,-121.98921999999999
0,14.931490806886051,51234.0,224.0,0.63,Single Family Residential,902 Via Palo Linda,FAIRFIELD,CA,94534,765000,4,2.0,GREEN VALLEY 2,1832,13939.0,1973.0,418,0.0,38.248019,-122.16905600000001
0,14.00841908325538,42760.0,144.0,0.81,Single Family Residential,2013 Moss Valley Dr,FAIRFIELD,CA,94534,599000,5,3.0,FAIRFIELD,3287,8433.0,1992.0,182,0.0,38.2926958,-122.03924029999999
0,20.882265864008684,50665.0,225.0,0.62,Single Family Residential,5315 Donald Ridge Ct,FAIRFIELD,CA,94534,1058000,5,4.0,FAIRFIELD,4275,21758.0,2005.0,247,0.0,38.230515000000004,-122.1373916
0,10.146056015667398,42381.0,149.0,0.78,Single Family Residential,2297 Wareham Ct,FAIRFIELD,CA,94533,430000,4,2.5,FAIRFIELD 5,2154,2204.0,2015.0,200,153.0,38.2708777,-122.04156709999998
0,13.406430298532475,41771.0,146.0,0.78,Single Family Residential,2408 Skyview Cir,FAIRFIELD,CA,94534,560000,5,3.0,FAIRFIELD 3,2647,5367.0,2000.0,212,0.0,38.2851097,-122.0534481
0,9.112125824454592,49275.0,169.0,0.8,Single Family Residential,524 Iowa St,FAIRFIELD,CA,94533,449000,4,2.5,FAIRFIELD 7,1957,5227.0,1959.0,229,0.0,38.256389299999995,-122.028228
0,7.8432279857479985,43222.0,199.0,0.6,Single Family Residential,1325 2nd St,FAIRFIELD,CA,94533,339000,3,2.0,FAIRFIELD 8,1000,7405.0,1954.0,339,0.0,38.25733220000001,-122.0570442
0,16.648764769065522,53998.0,243.0,0.61,Single Family Residential,1795 Green Valley Oaks Dr,FAIRFIELD,CA,94534,899000,3,2.5,GREEN VALLEY 2,3040,170755.0,1976.0,296,0.0,38.2568682,-122.1593043
0,12.844980720072787,46162.0,167.0,0.76,Single Family Residential,3052 Muse Way,FAIRFIELD,CA,94533,592950,4,3.0,FAIRFIELD 1,2602,5512.0,2019.0,228,0.0,38.285998,-122.002597
0,11.508417642265112,50311.0,234.0,0.59,Single Family Residential,4522 Paseo Dr,FAIRFIELD,CA,94534,579000,4,2.5,FAIRFIELD,2733,4180.0,2015.0,212,0.0,38.1661787,-122.1250804
0,19.472449993788047,32196.0,133.0,0.66,Single Family Residential,1965 Clyde Jean Pl,FAIRFIELD,CA,94533,626935,4,3.0,FAIRFIELD 1,2102,6180.0,2020.0,298,0.0,38.296129,-121.985031
0,18.642146366041064,39695.0,152.0,0.72,Single Family Residential,5101 Dartmoor Cir,FAIRFIELD,CA,94534,740000,4,3.0,CORDELIA,2413,8853.0,2019.0,307,0.0,38.162574,-122.13905
0,27.23710951413187,47729.0,177.0,0.74,Single Family Residential,1646 State Hwy 12 Hwy,FAIRFIELD,CA,94534,1300000,3,2.0,CORDELIA,1527,1876129.0,1979.0,851,0.0,38.205816999999996,-122.16221000000002
