,SPGI
1981-01-21,0.068092
1981-01-22,0.070376
1981-01-23,0.069753
1981-01-26,0.069753
1981-01-27,0.069753
1981-01-28,0.073075
1981-01-29,0.071414
1981-01-30,0.071414
1981-02-02,0.070168
1981-02-03,0.069545
1981-02-04,0.069545
1981-02-05,0.069753
1981-02-06,0.070168
1981-02-09,0.069753
1981-02-10,0.068923
1981-02-11,0.0683
1981-02-12,0.067262
1981-02-13,0.066847
1981-02-17,0.066431
1981-02-18,0.066224
1981-02-19,0.065393
1981-02-20,0.066639
1981-02-23,0.066639
1981-02-24,0.066431
1981-02-25,0.066431
1981-02-26,0.066847
1981-02-27,0.068923
1981-03-02,0.070168
1981-03-03,0.071414
1981-03-04,0.072659
1981-03-05,0.073075
1981-03-06,0.072452
1981-03-09,0.073697
1981-03-10,0.073697
1981-03-11,0.075151
1981-03-12,0.075981
1981-03-13,0.076396
1981-03-16,0.074943
1981-03-17,0.075358
1981-03-18,0.074943
1981-03-19,0.075566
1981-03-20,0.075566
1981-03-23,0.077019
1981-03-24,0.076396
1981-03-25,0.076604
1981-03-26,0.075773
1981-03-27,0.075981
1981-03-30,0.073075
1981-03-31,0.074528
1981-04-01,0.07432
1981-04-02,0.073697
1981-04-03,0.073075
1981-04-06,0.072244
1981-04-07,0.071414
1981-04-08,0.071829
1981-04-09,0.073905
1981-04-10,0.07349
1981-04-13,0.07349
1981-04-14,0.073697
1981-04-15,0.076811
1981-04-16,0.077849
1981-04-20,0.078264
1981-04-21,0.077227
1981-04-22,0.077227
1981-04-23,0.078057
1981-04-24,0.078887
1981-04-27,0.079095
1981-04-28,0.079718
1981-04-29,0.079718
1981-04-30,0.078057
1981-05-01,0.078264
1981-05-04,0.077227
1981-05-05,0.075981
1981-05-06,0.075151
1981-05-07,0.075981
1981-05-08,0.075566
1981-05-11,0.076396
1981-05-12,0.077019
1981-05-13,0.076811
1981-05-14,0.076604
1981-05-15,0.076604
1981-05-18,0.078057
1981-05-19,0.07868
1981-05-20,0.079718
1981-05-21,0.081794
1981-05-22,0.080548
1981-05-26,0.079718
1981-05-27,0.081794
1981-05-28,0.082624
1981-05-29,0.084908
1981-06-01,0.087814
1981-06-02,0.087191
1981-06-03,0.086776
1981-06-04,0.086984
1981-06-05,0.093004
1981-06-08,0.089475
1981-06-09,0.086153
1981-06-10,0.088022
1981-06-11,0.089682
1981-06-12,0.090513
1981-06-15,0.088022
1981-06-16,0.087606
1981-06-17,0.086984
1981-06-18,0.085946
1981-06-19,0.085115
1981-06-22,0.087606
1981-06-23,0.088229
1981-06-24,0.088022
1981-06-25,0.087814
1981-06-26,0.087606
1981-06-29,0.087399
1981-06-30,0.085946
1981-07-01,0.085946
1981-07-02,0.084285
1981-07-06,0.083039
1981-07-07,0.084077
1981-07-08,0.0847
1981-07-09,0.0847
1981-07-10,0.08387
1981-07-13,0.082624
1981-07-14,0.083039
1981-07-15,0.082832
1981-07-16,0.083039
1981-07-17,0.083662
1981-07-20,0.081794
1981-07-21,0.082209
1981-07-22,0.082624
1981-07-23,0.082416
1981-07-24,0.082209
1981-07-27,0.083662
1981-07-28,0.083662
1981-07-29,0.083454
1981-07-30,0.083039
1981-07-31,0.083662
1981-08-03,0.084077
1981-08-04,0.08387
1981-08-05,0.083662
1981-08-06,0.083662
1981-08-07,0.083247
1981-08-10,0.082416
1981-08-11,0.082416
1981-08-12,0.082416
1981-08-13,0.082209
1981-08-14,0.081794
1981-08-17,0.081171
1981-08-18,0.08034
1981-08-19,0.080548
1981-08-20,0.081794
1981-08-21,0.081586
1981-08-24,0.078057
1981-08-25,0.078472
1981-08-26,0.079718
1981-08-27,0.078057
1981-08-28,0.077227
1981-08-31,0.076811
1981-09-01,0.076396
1981-09-02,0.077227
1981-09-03,0.077642
1981-09-04,0.076396
1981-09-08,0.073697
1981-09-09,0.07432
1981-09-10,0.075981
1981-09-11,0.076396
1981-09-14,0.075773
1981-09-15,0.075981
1981-09-16,0.076811
1981-09-17,0.077227
1981-09-18,0.075773
1981-09-21,0.075566
1981-09-22,0.075358
1981-09-23,0.073697
1981-09-24,0.075566
1981-09-25,0.074113
1981-09-28,0.073697
1981-09-29,0.075773
1981-09-30,0.074943
1981-10-01,0.074735
1981-10-02,0.075151
1981-10-05,0.077227
1981-10-06,0.078264
1981-10-07,0.079302
1981-10-08,0.081171
1981-10-09,0.080133
1981-10-12,0.079925
1981-10-13,0.080963
1981-10-14,0.080756
1981-10-15,0.07951
1981-10-16,0.078057
1981-10-19,0.076396
1981-10-20,0.077227
1981-10-21,0.078264
1981-10-22,0.077434
1981-10-23,0.078472
1981-10-26,0.077642
1981-10-27,0.077642
1981-10-28,0.07868
1981-10-29,0.079718
1981-10-30,0.082624
1981-11-02,0.08553
1981-11-03,0.086984
1981-11-04,0.087606
1981-11-05,0.086984
